"","state","date","confirmed","deaths","recovered","type"
"293","Western Australia",2020-02-27,0,0,0,"cumulative"
"294","Tasmania",2020-02-27,0,0,0,"cumulative"
"295","Northern Territory",2020-02-27,0,0,0,"cumulative"
"296","Australian Capital Territory",2020-02-27,0,0,0,"cumulative"
"297","New South Wales",2020-02-28,4,0,4,"cumulative"
"298","Victoria",2020-02-28,4,0,4,"cumulative"
"299","Queensland",2020-02-28,5,0,1,"cumulative"
"300","South Australia",2020-02-28,2,0,2,"cumulative"
"301","Western Australia",2020-02-28,0,0,0,"cumulative"
"302","Tasmania",2020-02-28,0,0,0,"cumulative"
"303","Northern Territory",2020-02-28,0,0,0,"cumulative"
"304","Australian Capital Territory",2020-02-28,0,0,0,"cumulative"
"305","New South Wales",2020-02-29,4,0,4,"cumulative"
"306","Victoria",2020-02-29,7,0,4,"cumulative"
"307","Queensland",2020-02-29,9,0,1,"cumulative"
"308","South Australia",2020-02-29,3,0,2,"cumulative"
"309","Western Australia",2020-02-29,2,0,0,"cumulative"
"310","Tasmania",2020-02-29,0,0,0,"cumulative"
"311","Northern Territory",2020-02-29,0,0,0,"cumulative"
"312","Australian Capital Territory",2020-02-29,0,0,0,"cumulative"
"313","New South Wales",2020-03-01,6,0,4,"cumulative"
"314","Victoria",2020-03-01,7,0,4,"cumulative"
"315","Queensland",2020-03-01,9,0,1,"cumulative"
"316","South Australia",2020-03-01,3,0,2,"cumulative"
"317","Western Australia",2020-03-01,2,1,0,"cumulative"
"318","Tasmania",2020-03-01,0,0,0,"cumulative"
"319","Northern Territory",2020-03-01,0,0,0,"cumulative"
"320","Australian Capital Territory",2020-03-01,0,0,0,"cumulative"
"321","New South Wales",2020-03-02,6,0,4,"cumulative"
"322","Victoria",2020-03-02,9,0,4,"cumulative"
"323","Queensland",2020-03-02,9,0,1,"cumulative"
"324","South Australia",2020-03-02,3,0,2,"cumulative"
"325","Western Australia",2020-03-02,2,1,0,"cumulative"
"326","Tasmania",2020-03-02,1,0,0,"cumulative"
